M,logT,globalToT
0.15,3.50961,339.7674
0.2,3.52474,367.9388
0.25,3.53505,408.5773
0.3,3.54339,492.9919
0.35,3.55082,358.3538
0.4,3.55929,222.1124
0.45,3.5695,176.9409
0.5,3.58154,146.8102
0.55,3.59551,125.3556
0.6,3.61129,106.75
0.65,3.62846,93.05211
0.7,3.64654,81.16994
0.75,3.66575,70.88715
0.8,3.68619,62.53793
0.85,3.70568,55.01458
0.9,3.72368,47.89922
0.95,3.73984,41.24104
1.0,3.75439,34.87138
1.05,3.76739,28.6386
1.1,3.77903,21.93421
1.15,3.78948,14.67075
1.2,3.79899,8.140944
1.25,3.80807,2.394146
1.3,3.8176,0.0
1.35,3.82645,0.0
1.4,3.83525,0.0
1.45,3.84458,0.0
1.5,3.85476,0.0
